Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A786884,*Brock,01/03/2019 04:19:00 PM,01/03/2019 04:19:00 PM,2501 Magin Meadow Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Beagle Mix,Tricolor
A706918,Belle,07/05/2015 12:59:00 PM,07/05/2015 12:59:00 PM,9409 Bluegrass Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,English Springer Spaniel,White/Liver
A724273,Runster,04/14/2016 06:43:00 PM,04/14/2016 06:43:00 PM,2818 Palomino Trail in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Basenji Mix,Sable/White
A665644,,10/21/2013 07:59:00 AM,10/21/2013 07:59:00 AM,Austin (TX),Stray,Sick,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A682524,Rio,06/29/2014 10:38:00 AM,06/29/2014 10:38:00 AM,800 Grove Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Doberman Pinsch/Australian Cattle Dog,Tan/Gray
A743852,Odin,02/18/2017 12:46:00 PM,02/18/2017 12:46:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate
A635072,Beowulf,04/16/2019 09:53:00 AM,04/16/2019 09:53:00 AM,415 East Mary Street in Austin (TX),Public Assist,Normal,Dog,Neutered Male,6 years,Great Dane Mix,Black
A708452,Mumble,07/30/2015 02:37:00 PM,07/30/2015 02:37:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A818975,,06/18/2020 02:53:00 PM,06/18/2020 02:53:00 PM,Braker Lane And Metric in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream Tabby
A774147,,06/11/2018 07:45:00 AM,06/11/2018 07:45:00 AM,6600 Elm Creek in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A731435,*Casey,08/08/2016 05:52:00 PM,08/08/2016 05:52:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Cream Tabby
A760053,,10/11/2017 03:46:00 PM,10/11/2017 03:46:00 PM,8800 South First Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,White/Tan
A707375,*Candy Cane,07/11/2015 06:19:00 PM,07/11/2015 06:19:00 PM,Galilee Court And Damita Jo Dr in Manor (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull,Brown/White
A696408,*Pearl,02/04/2015 12:58:00 PM,02/04/2015 12:58:00 PM,9705 Thaxton in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Tricolor
A790209,Ziggy,03/06/2019 02:31:00 PM,03/06/2019 02:31:00 PM,4424 S Mopac Expwy in Austin (TX),Public Assist,Normal,Cat,Intact Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
A743114,,02/04/2017 10:10:00 AM,02/04/2017 10:10:00 AM,208 Beaver St in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White
A657188,Tommy,11/10/2013 05:19:00 PM,11/10/2013 05:19:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Brown Tabby/White
A783861,Tulip,11/07/2018 03:53:00 PM,11/07/2018 03:53:00 PM,3110 Guadalupe Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A707658,*Mint,07/15/2015 05:43:00 PM,07/15/2015 05:43:00 PM,6118 Fairway in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A736287,*Twilight,10/08/2016 11:53:00 AM,10/08/2016 11:53:00 AM,South First And Stassney in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
A697950,,03/04/2015 11:22:00 AM,03/04/2015 11:22:00 AM,1501 S Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Australian Cattle Dog/Labrador Retriever,Tan/White
A298074,Stumpy,09/06/2015 02:21:00 PM,09/06/2015 02:21:00 PM,1801 Westridge in Austin (TX),Stray,Normal,Dog,Spayed Female,18 years,Parson Russell Terrier Mix,Black/White
A754715,Rheia,07/29/2019 05:19:00 PM,07/29/2019 05:19:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
A810994,,12/25/2019 12:05:00 AM,12/25/2019 12:05:00 AM,7900 Rm 1826 Rd in Travis (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A769764,,04/09/2018 07:03:00 PM,04/09/2018 07:03:00 PM,7500 South Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Yorkshire Terrier Mix,White/Black
A707974,*Cleopatra,07/20/2015 06:13:00 PM,07/20/2015 06:13:00 PM,2307 Ventura in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue
A682230,,06/25/2014 04:27:00 PM,06/25/2014 04:27:00 PM,3737 Keats Dr in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Maltese Mix,White
A749436,,05/15/2017 09:50:00 AM,05/15/2017 09:50:00 AM,East Pleasant Valley And Stassney in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund Mix,Brown/White
A722979,,03/24/2016 04:39:00 PM,03/24/2016 04:39:00 PM,4100 Westbank Dr in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown
A803723,,09/05/2019 12:00:00 PM,09/05/2019 12:00:00 PM,10508 Twilight Vista in Austin (TX),Stray,Normal,Cat,Unknown,6 months,Domestic Shorthair,Black/White
A696205,Roo,02/12/2015 11:57:00 AM,02/12/2015 11:57:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A759935,Dieve,10/09/2017 10:39:00 PM,10/09/2017 10:39:00 PM,4800 Cottonwood St in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A666877,*Romeo,11/08/2013 03:24:00 PM,11/08/2013 03:24:00 PM,Guadalupe/St. Johns in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Mix,Tan/White
A794334,Pearl,09/02/2019 11:52:00 AM,09/02/2019 11:52:00 AM,Outside Jurisdiction,Owner Surrender,Sick,Dog,Spayed Female,3 years,Boxer Mix,White
A706507,,06/29/2015 05:04:00 PM,06/29/2015 05:04:00 PM,5306  Peppertree in Austin (TX),Stray,Normal,Cat,Unknown,4 days,Domestic Shorthair Mix,Black
A732903,*Raven,08/14/2016 03:02:00 PM,08/14/2016 03:02:00 PM,Austin (TX),Stray,Injured,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White
A789526,Sixlet,02/23/2019 11:22:00 AM,02/23/2019 11:22:00 AM,2504 Stratford Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A749400,*Pepper,05/14/2017 02:19:00 PM,05/14/2017 02:19:00 PM,1834 Ferguson in Austin (TX),Stray,Normal,Cat,Intact Female,1 day,Domestic Shorthair Mix,Blue
A727838,,05/26/2016 02:01:00 PM,05/26/2016 02:01:00 PM,2504 Huntwick Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A821389,*Dim Sum,08/10/2020 02:10:00 PM,08/10/2020 02:10:00 PM,7800 San Felipe Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby
A769816,*Wallace,04/10/2018 04:46:00 PM,04/10/2018 04:46:00 PM,17833 Basket Flower Bend in Travis (TX),Stray,Normal,Dog,Intact Male,5 years,Plott Hound Mix,Brown Brindle/White
A701811,,05/05/2015 07:29:00 AM,05/05/2015 07:29:00 AM,4434 Frontier Trl in Austin (TX),Stray,Nursing,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Gray Tabby
A812244,,01/18/2020 02:14:00 PM,01/18/2020 02:14:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever,Tan
A700396,Calseta,12/07/2015 09:11:00 AM,12/07/2015 09:11:00 AM,4200 Smith School Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A724378,Boxer,04/16/2016 01:36:00 PM,04/16/2016 01:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,Tibetan Spaniel Mix,Black/White
A702701,Pepper,05/16/2015 06:38:00 PM,05/16/2015 06:38:00 PM,Mcneil Drive & Burnet Road in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Chocolate/Brown
A759995,,10/11/2017 11:48:00 AM,10/11/2017 11:48:00 AM,1709 East 38Th Street in Austin (TX),Stray,Normal,Cat,Unknown,4 months,Domestic Shorthair Mix,Brown Tabby
A702931,Henry,05/19/2015 01:23:00 PM,05/19/2015 01:23:00 PM,Austin (TX),Euthanasia Request,Aged,Other,Unknown,2 years,Hamster Mix,White/Gray
